               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11528,            0.020296,            0.040901,           0.0011056,              0.2297,            0.014658,           0.0016921,             0.10634,            0.015246,            0.040128,              0.0016,              0.0016,              0.0856
                   1,             0.10147,            0.024813,            0.037786,           0.0026475,             0.53152,           0.0059819,          0.00096918,            0.098178,            0.016037,            0.038176,           0.0032837,           0.0032837,            0.070284
                   2,             0.08344,            0.032923,             0.03381,            0.029945,             0.15812,            0.047062,            0.011276,            0.079252,            0.015813,            0.034354,           0.0049505,           0.0049505,             0.05495
                   3,            0.081337,            0.025385,            0.031762,            0.038554,             0.20459,            0.036336,           0.0092644,            0.090976,            0.013104,            0.028534,           0.0066005,           0.0066005,            0.039601
                   4,            0.080492,            0.023004,             0.02881,             0.46685,             0.40545,             0.38692,             0.12179,            0.088832,            0.011171,            0.022134,           0.0082337,           0.0082337,            0.024234
                   5,            0.079209,            0.021806,            0.024241,             0.16629,             0.22917,              0.2055,             0.06644,            0.097448,           0.0096807,            0.015836,           0.0097525,           0.0097525,           0.0097525
                   6,            0.077884,            0.019752,            0.018777,             0.77985,             0.36218,              0.4562,              0.1181,            0.085471,            0.012127,            0.010568,           0.0097525,           0.0097525,           0.0097525
                   7,            0.069875,             0.01991,            0.016468,             0.31077,             0.66879,             0.41743,             0.12667,            0.077386,            0.012075,           0.0082671,            0.009703,            0.009703,            0.009703
                   8,            0.066493,            0.016925,            0.015361,             0.18273,             0.42639,             0.15397,            0.039493,            0.095114,           0.0080848,           0.0053593,           0.0096535,           0.0096535,           0.0096535
                   9,            0.063606,             0.01652,            0.011284,              0.4358,             0.88889,             0.73317,             0.30884,            0.066134,           0.0094474,           0.0055793,            0.009604,            0.009604,            0.009604
                  10,            0.059216,            0.015663,           0.0084463,             0.31437,             0.86111,             0.41897,            0.097695,            0.072446,           0.0075718,           0.0094044,           0.0095545,           0.0095545,           0.0095545
                  11,            0.057869,            0.015623,            0.010329,             0.39415,                   1,             0.77306,             0.25905,            0.062779,           0.0071925,           0.0083122,            0.009505,            0.009505,            0.009505
                  12,            0.058951,            0.014576,            0.010036,             0.75548,             0.68795,             0.80356,             0.35209,            0.060885,           0.0068313,           0.0032133,           0.0094555,           0.0094555,           0.0094555
                  13,            0.050904,            0.014539,           0.0073802,             0.67845,             0.76705,             0.83271,             0.24949,            0.056789,           0.0074454,           0.0028131,            0.009406,            0.009406,            0.009406
                  14,            0.050383,             0.01385,           0.0077676,             0.36408,             0.92361,             0.51546,              0.1614,            0.070499,           0.0076325,           0.0028495,           0.0093565,           0.0093565,           0.0093565
                  15,             0.05039,            0.013966,           0.0081474,             0.92442,             0.43162,             0.52503,             0.21796,            0.082996,            0.010583,           0.0087808,            0.009307,            0.009307,            0.009307
                  16,            0.048262,            0.013979,           0.0057837,             0.70021,             0.94659,             0.78828,             0.22162,            0.067281,           0.0069725,            0.002112,           0.0092575,           0.0092575,           0.0092575
                  17,            0.047911,             0.01329,           0.0065801,             0.54191,             0.62233,             0.56989,             0.14444,            0.070947,           0.0065982,           0.0020895,            0.009208,            0.009208,            0.009208
                  18,            0.045738,            0.013381,           0.0051758,             0.71081,             0.81595,             0.81253,             0.39153,            0.043968,           0.0064271,           0.0019969,           0.0091585,           0.0091585,           0.0091585
                  19,            0.050044,            0.012573,           0.0056798,             0.83891,             0.75639,             0.81655,             0.30059,            0.053681,            0.007849,           0.0053431,            0.009109,            0.009109,            0.009109
                  20,            0.042744,            0.012332,           0.0062127,             0.61323,             0.66774,             0.61086,             0.18865,            0.064272,           0.0065191,           0.0022835,           0.0090595,           0.0090595,           0.0090595
                  21,            0.044187,            0.013185,           0.0061962,             0.69298,             0.65224,             0.55922,              0.1448,            0.061908,           0.0061967,           0.0019039,             0.00901,             0.00901,             0.00901
                  22,            0.045445,            0.012122,           0.0061772,             0.80102,                   1,             0.95903,              0.4733,            0.042695,            0.005965,           0.0019369,           0.0089605,           0.0089605,           0.0089605
                  23,            0.041522,             0.01201,           0.0080216,             0.94884,             0.86811,             0.96187,             0.28008,            0.054503,           0.0066146,           0.0051294,            0.008911,            0.008911,            0.008911
                  24,            0.040814,            0.011584,           0.0059683,             0.42252,             0.48409,             0.42251,             0.10121,            0.065254,           0.0066373,           0.0026441,           0.0088615,           0.0088615,           0.0088615
                  25,            0.038774,            0.011885,           0.0049083,             0.77464,             0.77457,             0.76505,             0.17702,            0.066123,           0.0061706,           0.0016658,            0.008812,            0.008812,            0.008812
                  26,            0.041308,            0.011683,           0.0053899,             0.88934,             0.88311,             0.92678,             0.34275,            0.048052,           0.0063531,           0.0019008,           0.0087625,           0.0087625,           0.0087625
                  27,            0.038293,             0.01151,           0.0053933,             0.89418,             0.89223,             0.94288,             0.30781,            0.051473,           0.0064322,           0.0021403,            0.008713,            0.008713,            0.008713
                  28,            0.037501,            0.011466,           0.0044521,              0.9625,             0.95069,             0.95849,             0.49788,            0.037969,           0.0059454,            0.002054,           0.0086635,           0.0086635,           0.0086635
                  29,            0.042135,            0.012019,           0.0042217,             0.96405,             0.94697,             0.96094,             0.49514,            0.037486,           0.0057308,           0.0016707,            0.008614,            0.008614,            0.008614
                  30,            0.034669,            0.011631,           0.0036955,              0.9037,             0.94778,             0.95481,             0.45791,             0.04026,           0.0062027,           0.0013446,           0.0085645,           0.0085645,           0.0085645
                  31,             0.03834,            0.010048,           0.0040857,             0.92542,              0.9375,             0.95138,             0.39835,            0.046623,           0.0060552,           0.0018408,            0.008515,            0.008515,            0.008515
                  32,            0.035677,            0.012104,           0.0046553,             0.41857,              0.5977,             0.43171,            0.087537,            0.066399,           0.0069225,           0.0017136,           0.0084655,           0.0084655,           0.0084655
                  33,            0.037731,            0.011797,           0.0052712,             0.93162,             0.95833,             0.97768,             0.55721,            0.033036,           0.0057381,           0.0019591,            0.008416,            0.008416,            0.008416
                  34,            0.033851,            0.010957,           0.0036748,             0.96005,              0.9385,             0.96655,             0.48578,            0.035161,           0.0058937,           0.0043785,           0.0083665,           0.0083665,           0.0083665
                  35,            0.034921,            0.010687,           0.0037229,             0.95871,             0.92879,             0.98407,             0.52218,            0.033774,           0.0057512,           0.0030857,            0.008317,            0.008317,            0.008317
                  36,            0.035058,            0.011048,           0.0033839,             0.86227,             0.93767,             0.95515,             0.47781,             0.03658,           0.0061626,           0.0027131,           0.0082675,           0.0082675,           0.0082675
                  37,            0.034115,             0.01138,           0.0032039,             0.81519,             0.87236,             0.96268,             0.38894,            0.050544,           0.0063294,           0.0013424,            0.008218,            0.008218,            0.008218
                  38,            0.035149,            0.010704,           0.0040738,             0.90061,              0.9121,             0.95923,             0.48763,            0.040864,            0.006275,            0.002198,           0.0081685,           0.0081685,           0.0081685
                  39,            0.036694,            0.011303,           0.0046541,             0.85761,             0.91186,             0.94246,             0.60027,            0.035446,           0.0064064,           0.0016701,            0.008119,            0.008119,            0.008119
                  40,            0.037145,            0.010882,           0.0039881,             0.90645,             0.95833,              0.9697,               0.523,            0.036737,           0.0057071,           0.0015691,           0.0080695,           0.0080695,           0.0080695
                  41,            0.031753,            0.010276,           0.0041044,             0.90619,             0.90169,             0.96048,             0.28976,             0.04736,           0.0065648,           0.0013611,             0.00802,             0.00802,             0.00802
                  42,            0.031254,            0.010285,           0.0036545,             0.87424,             0.92229,             0.94614,             0.52663,             0.03433,           0.0061629,           0.0011981,           0.0079705,           0.0079705,           0.0079705
                  43,            0.031212,            0.010059,           0.0032367,             0.92975,             0.88958,             0.97271,             0.50574,            0.035532,           0.0059785,           0.0011745,            0.007921,            0.007921,            0.007921
                  44,             0.03455,             0.01078,           0.0036273,             0.92032,             0.88654,             0.94155,             0.55865,            0.036238,           0.0063168,           0.0012877,           0.0078715,           0.0078715,           0.0078715
                  45,            0.030755,             0.01133,           0.0034889,             0.95414,             0.89297,             0.93482,             0.58011,            0.034855,           0.0061611,           0.0012998,            0.007822,            0.007822,            0.007822
                  46,            0.031916,           0.0099034,           0.0032465,             0.87105,             0.95833,             0.95547,              0.3205,            0.050357,           0.0062231,           0.0011198,           0.0077725,           0.0077725,           0.0077725
                  47,             0.03327,            0.010451,           0.0032786,             0.89564,              0.9375,              0.9474,             0.25711,            0.050889,           0.0063544,           0.0011763,            0.007723,            0.007723,            0.007723
                  48,            0.033702,            0.011446,           0.0037754,             0.88532,             0.89103,             0.92648,             0.33414,            0.050381,           0.0067096,           0.0012611,           0.0076735,           0.0076735,           0.0076735
                  49,            0.034698,            0.010455,            0.003626,             0.85899,             0.84455,             0.85894,             0.23823,            0.055012,           0.0062586,           0.0012624,            0.007624,            0.007624,            0.007624
                  50,            0.033533,            0.010694,           0.0034569,             0.92329,              0.9284,             0.98363,             0.60737,            0.031398,           0.0056013,           0.0013066,           0.0075745,           0.0075745,           0.0075745
                  51,            0.033101,            0.010628,           0.0025862,             0.90785,             0.96706,             0.97876,             0.60878,            0.031927,           0.0054501,           0.0012483,            0.007525,            0.007525,            0.007525
                  52,            0.030988,           0.0099615,            0.003431,             0.93804,              0.9375,             0.97091,             0.56711,            0.032211,           0.0057123,           0.0012917,           0.0074755,           0.0074755,           0.0074755
                  53,            0.029547,            0.010673,           0.0035782,             0.88399,             0.99179,             0.98381,             0.57568,            0.034997,           0.0056813,           0.0010644,            0.007426,            0.007426,            0.007426
                  54,            0.028935,           0.0093183,           0.0030076,             0.89394,             0.90705,             0.90417,             0.35386,            0.049492,           0.0063742,          0.00098078,           0.0073765,           0.0073765,           0.0073765
                  55,            0.029813,            0.010155,            0.003336,             0.93594,              0.9375,             0.97329,             0.45997,            0.039487,           0.0061926,           0.0011269,            0.007327,            0.007327,            0.007327
                  56,            0.028067,           0.0098599,           0.0033394,             0.98016,             0.90421,             0.97314,             0.45382,            0.043141,           0.0063967,           0.0010617,           0.0072775,           0.0072775,           0.0072775
                  57,            0.029462,            0.010189,           0.0035901,             0.88788,             0.89058,             0.88326,             0.39553,            0.045335,           0.0061212,          0.00096568,            0.007228,            0.007228,            0.007228
                  58,            0.031143,           0.0097779,           0.0024868,              0.9244,             0.89784,              0.9549,             0.44814,            0.043525,           0.0061908,           0.0010372,           0.0071785,           0.0071785,           0.0071785
                  59,            0.032024,           0.0097513,           0.0028158,             0.92405,             0.95078,             0.95931,             0.48056,            0.038341,           0.0059644,           0.0010826,            0.007129,            0.007129,            0.007129
                  60,             0.03039,            0.010018,            0.002621,             0.74682,             0.76976,             0.75067,             0.23105,            0.058823,            0.006928,           0.0010609,           0.0070795,           0.0070795,           0.0070795
                  61,            0.029901,           0.0098204,           0.0030675,             0.94363,              0.9375,             0.97831,             0.48987,            0.044746,            0.006182,           0.0010756,             0.00703,             0.00703,             0.00703
                  62,             0.03147,            0.010122,           0.0028735,             0.94961,             0.95584,             0.98183,             0.57787,            0.034114,           0.0057521,          0.00099846,           0.0069805,           0.0069805,           0.0069805
                  63,            0.033165,            0.010559,           0.0029966,             0.94103,             0.91667,             0.97989,             0.43492,            0.039115,           0.0059604,          0.00098681,            0.006931,            0.006931,            0.006931
                  64,            0.026008,            0.010009,           0.0024508,             0.91688,             0.88194,             0.90099,             0.31353,            0.047805,            0.006457,          0.00092996,           0.0068815,           0.0068815,           0.0068815
                  65,            0.027925,           0.0098006,           0.0027899,             0.92289,              0.8611,             0.90039,             0.34182,            0.053057,           0.0069599,          0.00083834,            0.006832,            0.006832,            0.006832
                  66,            0.027162,            0.009124,           0.0019736,             0.97275,             0.95438,              0.9725,             0.36323,            0.047154,           0.0065195,          0.00083718,           0.0067825,           0.0067825,           0.0067825
                  67,            0.026983,           0.0092909,           0.0027674,             0.91573,              0.9375,             0.97479,             0.53825,            0.032701,           0.0059142,           0.0010637,            0.006733,            0.006733,            0.006733
                  68,            0.026907,           0.0095326,            0.002409,             0.94653,             0.91667,             0.97801,             0.41136,            0.043813,           0.0064307,          0.00096938,           0.0066835,           0.0066835,           0.0066835
                  69,            0.029053,            0.010077,           0.0032321,             0.93023,              0.9375,             0.96208,              0.5545,            0.035851,           0.0062973,           0.0010206,            0.006634,            0.006634,            0.006634
                  70,            0.027766,           0.0091042,           0.0031095,             0.89724,             0.93675,             0.96384,             0.44016,            0.046468,           0.0065731,           0.0011066,           0.0065845,           0.0065845,           0.0065845
                  71,             0.03207,              0.0105,            0.002692,             0.89796,             0.97607,             0.97305,             0.58115,             0.03293,           0.0059617,           0.0011656,            0.006535,            0.006535,            0.006535
                  72,            0.027364,            0.010396,           0.0028581,             0.87966,             0.95833,              0.9641,             0.49228,            0.038458,           0.0061124,           0.0010875,           0.0064855,           0.0064855,           0.0064855
                  73,            0.025049,           0.0095203,           0.0026069,             0.87429,             0.97917,             0.96094,             0.67767,            0.029268,           0.0056552,          0.00097996,            0.006436,            0.006436,            0.006436
                  74,            0.026076,           0.0092633,           0.0026825,             0.90476,             0.98595,             0.98168,             0.63564,            0.030519,            0.005499,          0.00088029,           0.0063865,           0.0063865,           0.0063865
                  75,            0.025553,           0.0093697,           0.0019801,             0.95982,              0.9367,             0.98469,             0.67164,            0.028067,           0.0054334,          0.00080671,            0.006337,            0.006337,            0.006337
                  76,            0.026268,           0.0091536,            0.002679,               0.965,             0.97192,             0.98921,             0.60816,             0.03095,           0.0053728,          0.00082539,           0.0062875,           0.0062875,           0.0062875
                  77,            0.024551,           0.0087055,           0.0028045,             0.92489,             0.89583,             0.95982,             0.61641,            0.033315,           0.0055164,          0.00088024,            0.006238,            0.006238,            0.006238
                  78,            0.028226,           0.0096569,           0.0028424,              0.9575,             0.89583,             0.97023,             0.56426,            0.034486,            0.005885,           0.0010869,           0.0061885,           0.0061885,           0.0061885
                  79,            0.025522,           0.0089636,           0.0028966,             0.95347,             0.88937,             0.96919,             0.52741,            0.034257,            0.005948,           0.0012138,            0.006139,            0.006139,            0.006139
                  80,            0.025838,           0.0093612,           0.0023918,             0.90798,             0.95611,             0.96284,             0.53569,            0.035066,            0.005983,           0.0010016,           0.0060895,           0.0060895,           0.0060895
                  81,            0.025644,           0.0091512,           0.0021107,             0.92095,             0.89718,             0.96439,             0.52957,            0.038199,           0.0061762,          0.00086065,             0.00604,             0.00604,             0.00604
                  82,            0.026669,           0.0098834,           0.0024142,             0.89938,             0.90319,             0.94379,             0.62887,            0.030682,           0.0060327,          0.00082572,           0.0059905,           0.0059905,           0.0059905
                  83,            0.025437,           0.0098043,           0.0023377,              0.8845,             0.91633,             0.91608,             0.60413,            0.031227,            0.006268,            0.000872,            0.005941,            0.005941,            0.005941
                  84,            0.027992,           0.0092571,           0.0026436,              0.8946,             0.85127,             0.94246,             0.64827,            0.031052,           0.0060596,           0.0021195,           0.0058915,           0.0058915,           0.0058915
                  85,            0.025292,           0.0092217,           0.0026348,             0.90907,             0.89583,             0.95696,             0.64739,            0.030555,            0.005772,          0.00088254,            0.005842,            0.005842,            0.005842
